<<<<<<< Updated upstream:Sensitivity/Rejection/solution_rej_0p5.csv
Aircraft,Accepted,Width,Length,ETA,Roll_In,X,Y,ServT,ETD,Roll_Out,D_Arr,D_Dep,Penalty_Reject,Penalty_ArrivalDelay,Penalty_DepartureDelay,Hangar_Width,Hangar_Length,StartDate
a09,1,0.0,0.0,577.0,577.0,5.0,10.0,177.0,774.0,754.0,0.0,0.0,138.0,4.0,6.0,150,100,2026-01-01 00:00
a10,1,0.0,0.0,1371.0,1371.0,20.0,5.0,238.0,1630.0,1609.0,0.0,0.0,176.5,7.0,5.0,150,100,2026-01-01 00:00
a11,1,0.0,0.0,1382.0,1382.0,10.0,5.0,205.0,1602.0,1587.0,0.0,0.0,288.0,10.0,9.0,150,100,2026-01-01 00:00
a12,1,0.0,0.0,1256.0,1256.0,15.0,5.0,187.0,1451.0,1443.0,0.0,0.0,222.0,4.0,5.0,150,100,2026-01-01 00:00
a13,1,0.0,0.0,1136.0,1136.0,15.0,5.0,108.0,1252.0,1244.0,0.0,0.0,395.5,23.0,23.0,150,100,2026-01-01 00:00
a14,1,0.0,0.0,1248.0,1248.0,10.0,5.0,133.0,1390.0,1381.0,0.0,0.0,280.0,7.0,9.0,150,100,2026-01-01 00:00
a15,1,0.0,0.0,202.0,202.0,5.0,5.0,191.0,411.0,400.10000000000036,0.0,0.0,340.5,12.0,12.0,150,100,2026-01-01 00:00
a16,1,0.0,0.0,751.0,751.0,10.0,5.0,151.0,910.0,902.0,0.0,0.0,302.5,8.0,8.0,150,100,2026-01-01 00:00
a17,1,0.0,0.0,402.0,402.0,5.0,5.0,154.0,567.0,556.0,0.0,0.0,163.0,6.0,4.0,150,100,2026-01-01 00:00
a18,1,0.0,0.0,871.0,871.0,5.0,10.0,136.0,1025.0,1007.0,0.0,0.0,201.0,6.0,4.0,150,100,2026-01-01 00:00
a19,1,0.0,0.0,262.0,262.0,20.80600000000001,5.0,259.0,544.0,521.0,0.0,0.0,503.5,20.0,30.0,150,100,2026-01-01 00:00
a20,1,0.0,0.0,253.0,253.0,5.0,10.0,147.0,412.0,400.0,0.0,0.0,578.0,34.0,32.0,150,100,2026-01-01 00:00
a21,1,0.0,0.0,207.0,207.0,10.0,10.0,138.0,356.0,345.0,0.0,0.0,662.5,38.0,31.0,150,100,2026-01-01 00:00
a22,1,0.0,0.0,103.0,103.0,15.806000000000012,5.0,261.0,374.0,364.0,0.0,0.0,528.5,10.0,10.0,150,100,2026-01-01 00:00
a23,1,0.0,0.0,821.0,821.0,5.0,5.0,170.0,1014.0,1007.1000000000004,0.0,0.0,374.0,19.0,17.0,150,100,2026-01-01 00:00
a24,1,0.0,0.0,1415.0,1415.0,10.0,10.0,142.0,1567.0,1557.0,0.0,0.0,366.0,10.0,10.0,150,100,2026-01-01 00:00
a25,1,0.0,0.0,1045.0,1045.0,5.0,5.0,245.0,1311.0,1290.0,0.0,0.0,492.0,30.0,17.0,150,100,2026-01-01 00:00
a26,1,0.0,0.0,1300.0,1300.0,5.0,5.0,104.0,1423.0,1404.0,0.0,0.0,448.5,10.0,11.0,150,100,2026-01-01 00:00
a27,1,0.0,0.0,546.0,546.0,15.0,5.0,199.0,753.0,745.0,0.0,0.0,372.5,14.0,15.0,150,100,2026-01-01 00:00
a28,1,0.0,0.0,98.0,98.0,10.806000000000012,5.0,240.0,350.0,345.10000000000036,0.0,0.0,462.5,33.0,17.0,150,100,2026-01-01 00:00
a29,1,0.0,0.0,1139.0,1139.0,20.0,5.0,198.0,1357.0,1337.0,0.0,0.0,369.5,9.0,16.0,150,100,2026-01-01 00:00
a30,1,0.0,0.0,565.0,565.0,10.0,10.0,65.0,640.0,630.0,0.0,0.0,171.0,5.0,3.0,150,100,2026-01-01 00:00
a31,1,0.0,0.0,154.0,154.0,15.0,10.0,111.0,273.0,265.0,0.0,0.0,343.0,12.0,15.0,150,100,2026-01-01 00:00
a32,1,0.0,0.0,920.0,920.0,10.0,5.0,20.0,959.0,940.0,0.0,0.0,322.0,10.0,7.0,150,100,2026-01-01 00:00
a33,1,0.0,0.0,470.0,470.0,10.0,5.0,150.0,639.0,630.1000000000004,0.0,0.0,222.0,10.0,11.0,150,100,2026-01-01 00:00
a34,1,0.0,0.0,574.0,574.0,5.0,5.0,197.0,791.0,771.0,0.0,0.0,746.5,31.0,39.0,150,100,2026-01-01 00:00
a35,1,0.0,0.0,1077.0,1077.0,10.0,5.0,108.0,1193.0,1185.0,0.0,0.0,368.5,15.0,16.0,150,100,2026-01-01 00:00
>>>>>>> Stashed changes:Sensitivity/Mauro/solution_rej_0p5.csv
